Punch ID,Task Number,Punch,Type Of Punch,Punch Status,RevisionDate,RevisionNumber,Item,ItemType,Disc,Form Type,PrvPunchId
3,AX014105,تگ کابل نصب نشده است,3,0,06:42.7,0,MSC COR CP-A48/A.R,CABL_HV/MV,EL,CPX11,NULL
4,AX014112,تگ کابل نصب نشده است,3,0,31:55.5,0,MSC COR CP-A48/A.T,CABL_HV/MV,EL,CPX08,NULL
5,AX014108,تگ کابل نصب نشده است.,3,0,31:57.2,0,MSC COR CP-A48/A.S,CABL_HV/MV,EL,CPX11,NULL
8,AX014109,تگ کابل نصب نشده است,3,0,32:01.9,0,MSC COR CP-A48/A.S,CABL_HV/MV,EL,CPX08,NULL
12,AX014111,تگ کابل نصب نشده است,3,0,32:05.3,0,MSC COR CP-A48/A.T,CABL_HV/MV,EL,CPX11,NULL
13,AX014115,تگ کابل نصب نشده است,3,0,41:24.4,0,MSC COR CP-A48/B.R,CABL_HV/MV,EL,CPX08,NULL
14,AX014114,تگ کابل نصب نشده است,3,0,41:25.8,0,MSC COR CP-A48/B.R,CABL_HV/MV,EL,CPX11,NULL
15,AX014117,تگ کابل نصب نشده است,3,0,41:25.9,0,MSC COR CP-A48/B.S,CABL_HV/MV,EL,CPX11,NULL
16,AX014121,تگ کابل نصب نشده است,3,0,41:26.4,0,MSC COR CP-A48/B.T,CABL_HV/MV,EL,CPX08,NULL
17,AX014118,تگ کابل نصب نشده است,3,0,41:28.1,0,MSC COR CP-A48/B.S,CABL_HV/MV,EL,CPX08,NULL
18,AX014205,تگ کابل نصب نشده است,3,0,21:45.6,0,MSC COR CP-A51/A.R,CABL_HV/MV,EL,CPX08,NULL
19,AX014126,تگ کابل نصب نشده است,3,0,21:48.3,0,MSC COR CP-A48/C.S,CABL_HV/MV,EL,CPX11,NULL
20,AX014217,تگ کابل نصب نشده است,3,0,21:50.3,0,MSC COR CP-A51/B.S,CABL_HV/MV,EL,CPX08,NULL
21,AX014210,تگ کابل نصب نشده است,3,0,21:53.7,0,MSC COR CP-A51/A.T,CABL_HV/MV,EL,CPX11,NULL
22,AX014219,تگ کابل نصب نشده است,3,0,21:53.8,0,MSC COR CP-A51/B.T,CABL_HV/MV,EL,CPX11,NULL
23,AX014213,تگ کابل نصب نشده است,3,0,21:55.9,0,MSC COR CP-A51/B.R,CABL_HV/MV,EL,CPX11,NULL
24,AX014211,تگ کابل نصب نشده است,3,0,21:57.5,0,MSC COR CP-A51/A.T,CABL_HV/MV,EL,CPX08,NULL
25,AX014220,تگ کابل نصب نشده است,3,0,22:01.8,0,MSC COR CP-A51/B.T,CABL_HV/MV,EL,CPX08,NULL
26,AX014130,تگ کابل نصب نشده است,3,0,22:03.3,0,MSC COR CP-A48/C.T,CABL_HV/MV,EL,CPX08,NULL
27,AX014127,تگ کابل نصب نشده است,3,0,22:06.5,0,MSC COR CP-A48/C.S,CABL_HV/MV,EL,CPX08,NULL
28,AX014208,تگ کابل نصب نشده است,3,0,22:09.7,0,MSC COR CP-A51/A.S,CABL_HV/MV,EL,CPX08,NULL
29,AX014207,تگ کابل نصب نشده است,3,0,22:11.9,0,MSC COR CP-A51/A.S,CABL_HV/MV,EL,CPX11,NULL
